bill_id,short_title,sponsor,co_sponsors,floor_sponsor,last_action,last_action_owner,subjects,num_substitutes,substitute_sponsors,active_version,subjects_changed,committees,money_appropriated,originating_chamber,final_chamber,sponsor_id,session_year,session_id
HB0488,Anti-Boycott Act Amendments,IVORYK,None,,House/ filed,House file for bills not passed,Government Purchasing; Government Operations (State Issues),0,None,HB0488,False,,None,House,,IVORYK,2018,2018GS
HB0489,Revisions to Election Law,FAWSOJL,None,,House/ filed,House file for bills not passed,Elections; Government Operations (State Issues),0,None,HB0489,False,,None,House,,FAWSOJL,2018,2018GS
HB0490,Special Needs Opportunity Scholarship Program,MCCAYD,None,,House/ filed,House file for bills not passed,Education; Public Education; Revenue and Taxation,0,None,HB0490,False,,None,House,,MCCAYD,2018,2018GS
HB0491,Election Law Changes,EDWARRP,None,FILLML,Governor Signed,Lieutenant Governor's office for filing,Elections; Government Operations (State Issues),0,None,HB0491,False,House Political Subdivisions Committee,None,House,,EDWARRP,2018,2018GS
HCR001,Concurrent Resolution on Climate Change,WARDR,None,,House/ filed,House file for bills not passed,Resolutions; Environmental Quality; Natural Resources; Legislative Affairs,0,None,HCR001S02,False,"House Natural Resources, Agriculture, and Environment Committee",,,,WARDR,2018,2018GS
HCR002,Concurrent Resolution Encouraging Congress to Propose an Amendment to the Constitution of the United States,ELIASS,None,BRAMBCS,Governor Signed,Lieutenant Governor's office for filing,Legislature; Resolutions; Elections; Constitution,0,None,HCR002,False,Senate Government Operations and Political Subdivisions Committee; House Judiciary Committee,,,,ELIASS,2018,2018GS
HCR003,Concurrent Resolution Recognizing the University of Utah's John R. Park Debate Society,RAYP,None,IWAMOJ,Governor Signed,Lieutenant Governor's office for filing,Legislature; Resolutions; Higher Education,0,None,HCR003,False,House Economic Development and Workforce Services Committee,,,,RAYP,2018,2018GS
HCR004,Concurrent Resolution on Economic and Environmental Stewardship,EDWARRP,None,,House/ filed,House file for bills not passed,Resolutions; Economic Development; Environmental Quality,0,None,HCR004,False,,,,,EDWARRP,2018,2018GS
HCR005,Concurrent Resolution Honoring Thomas S. Monson,NELSOMF,None,OKERLR,Governor Signed,Lieutenant Governor's office for filing,Resolutions,0,None,HCR005,False,House Economic Development and Workforce Services Committee,,,,NELSOMF,2018,2018GS
HCR006,Concurrent Resolution Honoring Former Chief Justice Christine M. Durham,ARENTPM,None,WEILET,Governor Signed,Lieutenant Governor's office for filing,Resolutions; Judiciary,0,None,HCR006,False,,,,,ARENTPM,2018,2018GS
HCR007,Concurrent Resolution on Environmental and Economic Stewardship,EDWARRP,None,WEILET,Governor Signed,Lieutenant Governor's office for filing,Resolutions; Environmental Quality,0,None,HCR007S01,False,"Senate Natural Resources, Agriculture, and Environment Committee; House Natural Resources, Agriculture, and Environment Committee",,,,EDWARRP,2018,2018GS
HCR008,"Concurrent Resolution Recognizing Historic and Economic Relationships Between Canada, the United States, and Utah",HANDYSG,None,BRAMBCS,Governor Signed,Lieutenant Governor's office for filing,Resolutions; Legislative Affairs; History,0,None,HCR008,False,House Government Operations Committee,,,,HANDYSG,2018,2018GS
